"","X","Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","rent_max","rent_min"
"1659",1659,"144 N Mansfield Ave","Los Angeles","CA","90036","$5,250",1925,"17","Single-Family Home","1,500","(213) 494-7736","2","2",1,"1",0,0,0,0,0,0,2,7,2,7,0,NA,34.074918,-118.340758,9,35545,3.14,"12.3","39.8",1.47,62,3.3,1300,0.71,0.11,0.25,0.11,"15",28,33,24,8,4,6,11,"https://www.trulia.com/c/ca/los-angeles/144-n-mansfield-ave-los-angeles-ca-90036--2115575123",6,37,214100,4000,60372141004000,"Block 4000","G5040","U",51445,"U","S",28888,0,34.0748827,-118.340234,NA,5250
"1660",1660,"2752 Guirado St","Los Angeles","CA","90023","$2,400",NA,"17","Multi-Family Home","1,100","(562) 275-5875","3","3",2,"2",0,0,0,0,0,0,2,4,2,6,0,NA,34.033846,-118.209976,9,52778,3.14,"12.5","37.8",2.91,66,4.1,5700,0.72,0.16,9.8,2.2,"1.1",83,98,69,30,57,8,9,"https://www.trulia.com/c/ca/los-angeles/2752-guirado-st-los-angeles-ca-90023--2077248269",6,37,204700,1014,60372047001014,"Block 1014","G5040","U",51445,"U","S",14033,0,34.0334834,-118.2100239,NA,2400
"1661",1661,"2125 W 108th St","Los Angeles","CA","90047","$3,099",NA,"19","Single-Family Home","1,434","(855) 721-7368","4","4",2,"2",0,0,0,0,0,0,2,2,1,2,0,NA,33.938236,-118.316484,9,32545,3.14,"12.4","37.5",1.77,56,5.7,1500,0.77,0.098,0.5,0.18,"0.0068",71,98,44,5,21,6,14,"https://www.trulia.com/c/ca/los-angeles/2125-w-108th-st-los-angeles-ca-90047--1005281664",6,37,600400,2005,60376004002005,"Block 2005","G5040","U",51445,"U","S",15394,0,33.938619,-118.3167641,NA,3099
"1662",1662,"602 S Wilton Pl #206","Los Angeles","CA","90005","$2,850",2002,"18","Multi-Family Home","1,498","Phone not provided","2","2",2,"2",0,0,0,0,0,0,2,5,2,7,0,NA,34.063128,-118.31403,9,77397,3.14,"12.4","39.1",1.68,67,3.4,1500,0.49,0.14,0.19,0.14,"0.34",69,87,51,34,21,5,11,"https://www.trulia.com/c/ca/los-angeles/602-s-wilton-pl-206-los-angeles-ca-90005--2115453358",6,37,211704,2002,60372117042002,"Block 2002","G5040","U",51445,"U","S",22679,0,34.0625642,-118.3134201,NA,2850
"1663",1663,"5425 Santa Monica Blvd #207","Los Angeles","CA","90029","$1,395",NA,"18","Multi-Family Home","400","(224) 715-6225",NA,NA,1,"1",0,0,0,0,0,0,2,5,2,3,0,NA,34.090838,-118.305896,9,90972,3.14,"12.3","39.8",2.26,63,3.3,4500,0.5,0.19,0.9,0.19,"0.0035",66,73,60,35,28,6,11,"https://www.trulia.com/c/ca/los-angeles/5425-santa-monica-blvd-207-los-angeles-ca-90029--2284391854",6,37,191120,2006,60371911202006,"Block 2006","G5040","U",51445,"U","S",20343,0,34.0914105,-118.3054849,NA,1395
"1664",1664,"1224 S Crescent Heights Blvd #LOWER","Los Angeles","CA","90035","$2,650",NA,"17","Multi-Family Home","1,300","(818) 426-9902","2","2",1,"1",0,0,0,0,0,0,2,4,0,NA,0,NA,34.053584,-118.371585,9,43768,3.14,"12.2","39.6",1.53,62,3.5,2500,0.67,0.079,0.15,0.094,"78",37,45,28,9,9,6,14,"https://www.trulia.com/c/ca/los-angeles/1224-s-crescent-heights-blvd-lower-los-angeles-ca-90035--2281358934",6,37,216800,3005,60372168003005,"Block 3005","G5040","U",51445,"U","S",21266,0,34.0533629,-118.3711323,NA,2650
"1665",1665,"4037 Los Feliz Blvd #UPPERBACK","Los Angeles","CA","90027","$2,595",1939,"18","Multi-Family Home","900","(818) 880-2252","1","1",1,"1",0,0,0,0,0,0,2,8,2,7,0,NA,34.113217,-118.280274,9,24450,3.14,"12.1","40.2",1.44,55,2.7,1900,0.61,0.44,2.1,0.4,"1.9",29,37,21,9,6,5,15,"https://www.trulia.com/c/ca/los-angeles/4037-los-feliz-blvd-upperback-los-angeles-ca-90027--1004152852",6,37,188202,3000,60371882023000,"Block 3000","G5040","U",51445,"U","S",43534,0,34.1142807,-118.2800808,NA,2595
"1666",1666,"6616 W Olympic Blvd #66105 2ND","Los Angeles","CA","90048","$3,750",1935,"18","Multi-Family Home","1,400","(818) 880-2252","2","2",1,"1",0,0,0,0,0,0,2,4,0,NA,0,NA,34.059346,-118.374234,9,44221,3.14,"12.2","39.8",1.48,63,3.6,2700,0.63,0.079,0.14,0.09,"39",30,35,26,9,6,6,15,"https://www.trulia.com/c/ca/los-angeles/6616-w-olympic-blvd-66105-2nd-los-angeles-ca-90048--1016327725",6,37,216800,4001,60372168004001,"Block 4001","G5040","U",51445,"U","S",25407,0,34.0582722,-118.3743771,NA,3750
"1667",1667,"823 W 62nd Pl","Los Angeles","CA","90044","$3,000",1923,"19","Single-Family Home","1,140","(714) 351-2063","4","4",2,"2",0,0,0,0,0,0,2,2,2,1,0,NA,33.982822,-118.287964,9,61805,3.14,"12.6","37.5",1.88,54,3.4,5800,0.74,0.095,0.88,0.23,"0",84,99,69,20,47,9,8,"https://www.trulia.com/c/ca/los-angeles/823-w-62nd-pl-los-angeles-ca-90044--2115615707",6,37,237101,5000,60372371015000,"Block 5000","G5040","U",51445,"U","S",41361,0,33.983248,-118.2892575,NA,3000
"1668",1668,"1403 N Alta Vista Blvd #3","Los Angeles","CA","90046","$1,795",NA,"17","Multi-Family Home",NA,"(818) 579-3822","1","1",1,"1",0,0,0,0,0,0,2,8,2,3,0,NA,34.095951,-118.347155,9,50951,3.14,"12.1","40.4",2,64,3.5,2700,0.47,0.11,0.69,0.11,"0.0027",36,33,38,15,8,2,13,"https://www.trulia.com/c/ca/los-angeles/1403-n-alta-vista-blvd-3-los-angeles-ca-90046--2173090705",6,37,189902,2003,60371899022003,"Block 2003","G5040","U",51445,"U","S",45900,0,34.0962111,-118.3477152,NA,1795
"1669",1669,"1830 Pennsylvania Ave","Los Angeles","CA","90033","$3,050",1910,"18","Single-Family Home","1,222","(213) 239-3392","3","3",1,"1",0,0,0,0,0,0,2,3,2,6,0,NA,34.047504,-118.217052,9,41396,3.14,"12.5","38",3.01,68,4.2,5200,0.6,0.14,6.8,1.3,"1.5",83,97,69,31,53,8,10,"https://www.trulia.com/c/ca/los-angeles/1830-pennsylvania-ave-los-angeles-ca-90033--2077322980",6,37,203500,3011,60372035003011,"Block 3011","G5040","U",51445,"U","S",14695,0,34.0472716,-118.2177485,NA,3050
"1670",1670,"451 N Western Ave #204","Los Angeles","CA","90004","$1,395",NA,"19","Multi-Family Home","500","(323) 677-2503",NA,NA,1,"1",0,0,0,0,0,0,2,6,0,NA,0,NA,34.079607,-118.309186,9,87653,3.14,"12.3","39.5",2.02,63,3.2,3800,0.52,0.17,0.5,0.17,"0",72,86,58,34,30,6,9,"https://www.trulia.com/c/ca/los-angeles/451-n-western-ave-204-los-angeles-ca-90004--2346603454",6,37,192420,2000,60371924202000,"Block 2000","G5040","U",51445,"U","S",22557,0,34.0798033,-118.3102572,NA,1395
"1671",1671,"12016 Washington Pl #313","Los Angeles","CA","90066","$3,800",NA,"18","Multi-Family Home","1,181","(818) 822-9186","2","2",2,"2",0,0,0,0,0,0,2,5,2,3,0,NA,34.001487,-118.426219,9,43329,3.14,"11.8","39.5",1.91,59,4.4,3800,0.47,0.05,0.19,0.15,"51",47,59,36,10,16,6,12,"https://www.trulia.com/c/ca/los-angeles/12016-washington-pl-313-los-angeles-ca-90066--2177725132",6,37,272302,2001,60372723022001,"Block 2001","G5040","U",51445,"U","S",59057,0,34.0004053,-118.4260412,NA,3800
"1672",1672,"1541 S Curson Ave","Los Angeles","CA","90019","$3,500",1928,"18","Single-Family Home","1,398","(310) 486-2286","3","3",1,"1",0,0,0,0,0,0,2,2,0,NA,0,NA,34.047177,-118.360743,9,42005,3.14,"12.3","39.4",1.72,61,3.5,3900,0.74,0.083,0.16,0.1,"200",55,74,36,8,15,6,11,"https://www.trulia.com/c/ca/los-angeles/1541-s-curson-ave-los-angeles-ca-90019--2115518869",6,37,216900,4000,60372169004000,"Block 4000","G5040","U",51445,"U","S",14593,0,34.0473718,-118.3609754,NA,3500
"1673",1673,"4845 Saturn St #6","Los Angeles","CA","90019","$1,649",NA,"24","Multi-Family Home","700","(310) 478-7600","1","1",1,"1",0,0,0,0,0,0,2,2,2,2,0,NA,34.044409,-118.342984,9,48395,3.14,"12.4","39.1",1.7,59,3.3,4300,0.78,0.09,0.16,0.1,"120",66,88,45,11,24,7,11,"https://www.trulia.com/c/ca/los-angeles/4845-saturn-st-6-los-angeles-ca-90019--2344294548",6,37,218210,1005,60372182101005,"Block 1005","G5040","U",51445,"U","S",21145,0,34.044717,-118.342367,NA,1649
"1674",1674,"1619 N La Brea Ave","Los Angeles","CA","""90028""","$3,020 - $6,680",2011,"77","Apartment",NA,"(323) 524-2148","1","3",1,"3",0,0,0,0,0,0,2,8,2,3,0,NA,34.100714,-118.345002,9,45295,3.14,"12.1","40.5",2.05,64,3.5,3100,0.44,0.12,0.82,0.12,"0.008",36,34,38,15,8,2,12,"https://www.trulia.com/c/ca/los-angeles/the-avenue-hollywood-1619-n-la-brea-ave-los-angeles-ca-90028--2115555214",6,37,189904,1006,60371899041006,"Block 1006","G5040","U",51445,"U","S",19516,0,34.1002938,-118.3456468,6680,3020
"1675",1675,"905 E 2nd St","Los Angeles","CA","""90012""","$2,102 - $4,466",NA,"180+","Apartment",NA,"(213) 296-0266","Studio","2",1,"2",0,0,0,0,0,0,3,3,3,3,0,NA,34.047193,-118.23453,9,38529,3.14,"12.5","38.1",2.95,83,5,3900,0.54,0.14,5.3,0.97,"2.6",67,78,62,20,29,3,12,"https://www.trulia.com/c/ca/los-angeles/the-garey-building-905-e-2nd-st-los-angeles-ca-90012--2124729965",6,37,206031,1023,60372060311023,"Block 1023","G5040","U",51445,"U","S",17263,0,34.0478387,-118.2345352,4466,2102
"1676",1676,"5520 Wilshire Blvd","Los Angeles","CA","""90036""","$2,250 - $9,382",2016,"180+","Apartment",NA,"(424) 324-3613","Studio","2",1,"2",0,0,0,0,0,0,2,4,2,7,0,NA,34.06224,-118.349193,9,44060,3.14,"12.3","39.6",1.52,64,3.6,2300,0.68,0.096,0.16,0.098,"47",37,48,25,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/desmond-at-wilshire-5520-wilshire-blvd-los-angeles-ca-90036--2077337370",6,37,216200,4000,60372162004000,"Block 4000","G5040","U",51445,"U","S",19516,0,34.0614421,-118.3491666,9382,2250
"1677",1677,"12301 W Pico Blvd","Los Angeles","CA","""90064""","$2,348 - $3,749",2013,"180+","Apartment",NA,"(424) 293-3982","Studio","2",1,"2",0,0,0,0,0,0,2,5,2,2,0,NA,34.02837,-118.452283,9,33415,3.14,"11.7","40.2",1.98,60,3.6,5200,0.4,0.05,0.65,0.092,"0",42,53,31,10,10,6,12,"https://www.trulia.com/c/ca/los-angeles/c-on-pico-12301-w-pico-blvd-los-angeles-ca-90064--2115681218",6,37,267600,3016,60372676003016,"Block 3016","G5040","U",51445,"U","S",14646,0,34.0287794,-118.453077,3749,2348
"1678",1678,"321 S Berendo St #301","Los Angeles","CA","90020","$2,300",NA,"13","Multi-Family Home","800","(404) 433-9629","2","2",1,"1",0,0,0,0,0,0,0,NA,2,5,0,NA,34.068456,-118.294187,9,124942,3.14,"12.4","39.1",1.9,69,3.5,2200,0.49,0.16,0.42,0.17,"0",76,93,60,38,30,6,8,"https://www.trulia.com/c/ca/los-angeles/321-s-berendo-st-301-los-angeles-ca-90020--2287746094",6,37,211922,1000,60372119221000,"Block 1000","G5040","U",51445,"U","S",21615,0,34.0682005,-118.294781,NA,2300
"1679",1679,"1784 N Sycamore Ave","Los Angeles","CA","90028","$1,450",NA,"13","Multi-Family Home","500","(323) 845-0713",NA,NA,1,"1",0,0,0,0,0,0,2,8,2,3,0,NA,34.103717,-118.343288,9,43271,3.14,"12.1","40.5",2.06,64,3.4,3400,0.43,0.12,0.9,0.12,"0.0099",36,34,38,15,8,2,11,"https://www.trulia.com/c/ca/los-angeles/1784-n-sycamore-ave-los-angeles-ca-90028--2115555761",6,37,190100,2002,60371901002002,"Block 2002","G5040","U",51445,"U","S",41921,0,34.1028276,-118.3425371,NA,1450
"1680",1680,"2229 Hauser Blvd","Los Angeles","CA","90016","$3,550",NA,"14","Townhome","1,800","(951) 823-4840","3","3",3,"3",0,0,0,0,0,0,2,5,0,NA,0,NA,34.03695,-118.361159,9,42619,3.14,"12.3","39.1",1.86,59,3.5,5300,0.73,0.078,0.19,0.11,"220",69,90,47,10,26,6,10,"https://www.trulia.com/c/ca/los-angeles/2229-hauser-blvd-los-angeles-ca-90016--1150760782",6,37,218400,1002,60372184001002,"Block 1002","G5040","U",51445,"U","S",39505,0,34.0369979,-118.3616033,NA,3550
"1681",1681,"743 Santee St","Los Angeles","CA","90014","$2,600",NA,"13","Multi-Family Home","1,200","(786) 238-9008",NA,NA,1,"1",0,0,0,0,0,0,2,2,2,5,0,NA,34.041666,-118.25126,9,35572,3.14,"12.5","38.1",2.86,92,5.5,3600,0.55,0.14,4.1,0.74,"0.9",63,70,56,17,19,3,14,"https://www.trulia.com/c/ca/los-angeles/743-santee-st-los-angeles-ca-90014--2077213069",6,37,226002,1000,60372260021000,"Block 1000","G5040","U",51445,"U","S",34875,0,34.0420919,-118.2508011,NA,2600
"1682",1682,"645 W 9th St #318","Los Angeles","CA","90015","$2,800",2006,"13","Multi-Family Home","1,030","(310) 497-8312","1","1",2,"2",0,0,0,0,0,0,2,4,2,1,0,NA,34.045496,-118.260907,9,62298,3.14,"12.5","38.3",2.67,84,4.8,5000,0.53,0.14,2.4,0.42,"0.34",73,81,66,26,32,5,11,"https://www.trulia.com/c/ca/los-angeles/645-w-9th-st-318-los-angeles-ca-90015--2115497543",6,37,207710,1032,60372077101032,"Block 1032","G5040","U",51445,"U","S",25373,0,34.0461896,-118.260233,NA,2800
"1683",1683,"4531 W 11th Pl","Los Angeles","CA","90019","$2,400",NA,"14","Multi-Family Home","863","(626) 808-6234","1","1",1,"1",0,0,0,0,0,0,2,7,2,2,0,NA,34.052537,-118.330586,9,44841,3.14,"12.4","39.1",1.5,59,3,1900,0.74,0.1,0.16,0.11,"33",66,86,47,20,24,6,12,"https://www.trulia.com/c/ca/los-angeles/4531-w-11th-pl-los-angeles-ca-90019--2115521706",6,37,212800,2004,60372128002004,"Block 2004","G5040","U",51445,"U","S",74675,0,34.0515455,-118.330718,NA,2400
"1684",1684,"2978 Ripple Pl","Los Angeles","CA","90039","$3,995",2017,"14","Multi-Family Home","1,780","(323) 823-8797","3","3",3,"3",0,0,0,0,0,0,2,8,2,6,0,NA,34.107269,-118.249219,9,26947,3.14,"12.1","40",2.16,57,3,4000,0.63,1.2,1.6,0.99,"3.8",57,74,41,16,24,5,11,"https://www.trulia.com/c/ca/los-angeles/2978-ripple-pl-los-angeles-ca-90039--2195763715",6,37,187200,2000,60371872002000,"Block 2000","G5040","U",51445,"U","S",210893,0,34.1054562,-118.2468522,NA,3995
"1685",1685,"321 S Berendo St #301","Los Angeles","CA","90020","$2,300",NA,"13","Multi-Family Home","800","(404) 433-9629","2","2",1,"1",0,0,0,0,0,0,0,NA,2,5,0,NA,34.068456,-118.294187,9,124942,3.14,"12.4","39.1",1.9,69,3.5,2200,0.49,0.16,0.42,0.17,"0",76,93,60,38,30,6,8,"https://www.trulia.com/c/ca/los-angeles/321-s-berendo-st-301-los-angeles-ca-90020--2287746094",6,37,211922,1000,60372119221000,"Block 1000","G5040","U",51445,"U","S",21615,0,34.0682005,-118.294781,NA,2300
"1686",1686,"12600 Greene Avenue","Los Angeles","CA","90066","$6,000",1955,"18","Single-Family Home","1,218","Phone not provided","3","3",2,"2",30,2,309,NA,NA,NA,1,6,1,3,1,6,33.989342,-118.426817,9,36677,3.14,"11.8","39.4",1.73,58,4.6,2100,0.34,0.05,0.18,0.16,"95",46,59,33,9,14,5,13,"https://www.trulia.com/c/ca/los-angeles/12600-greene-ave-los-angeles-ca-90066--2077461393",6,37,275311,2014,60372753112014,"Block 2014","G5040","U",51445,"U","S",17189,0,33.9886375,-118.4273793,NA,6000
"1687",1687,"10366 Eastborne Avenue","Los Angeles","CA","90024","$3,600",NA,"20","Multi-Family","1,100","(310) 980-5541","2","2",1,"1",8,NA,197,NA,41,NA,1,9,1,5,1,6,34.059055,-118.423628,9,34010,3.14,"11.9","40.3",1.62,62,3.5,1800,0.38,0.062,0.25,0.083,"0",24,28,20,9,4,4,23,"https://www.trulia.com/c/ca/los-angeles/10366-eastborne-ave-los-angeles-ca-90024--2345591227",6,37,265700,2015,60372657002015,"Block 2015","G5040","U",51445,"U","S",15229,0,34.0583991,-118.423826,NA,3600
"1688",1688,"1145 South Corning Street #6","Los Angeles","CA","90035","$2,695",NA,"19","Multi-Family","1,100","(323) 972-8132","2","2",1,"1",4,NA,52,NA,30,NA,1,4,1,5,1,6,34.055874,-118.377405,9,44516,3.14,"12.2","39.7",1.5,62,3.5,2400,0.64,0.076,0.14,0.093,"48",34,39,28,9,8,6,15,"https://www.trulia.com/c/ca/los-angeles/1145-s-corning-st-6-los-angeles-ca-90035--2233556250",6,37,216401,1004,60372164011004,"Block 1004","G5040","U",51445,"U","S",38094,0,34.0553509,-118.3778715,NA,2695
"1689",1689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.053758,-118.363487,9,44665,3.14,"12.3","39.5",1.52,63,3.6,2700,0.68,0.084,0.15,0.095,"140",42,55,28,8,8,6,12,"https://www.trulia.com/c/ca/los-angeles/1229-1-2-s-ogden-dr-los-angeles-ca-90019--2212915739",6,37,216900,3004,60372169003004,"Block 3004","G5040","U",51445,"U","S",27844,0,34.0541718,-118.3638295,NA,NA
"1690",1690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.041741,-118.182369,9,47887,3.14,"12.4","38",2.11,58,3.1,3000,0.76,0.16,5.6,0.95,"0.086",81,99,62,26,56,8,10,"https://www.trulia.com/c/ca/los-angeles/455-n-record-ave-los-angeles-ca-90063--2115679181",6,37,530902,2011,60375309022011,"Block 2011","G5040","U",51445,"U","S",21479,0,34.0418954,-118.1834689,NA,NA
"1691",1691,"4080 Via Marisol #233","Los Angeles","CA","90042","$2,300",1981,"20","Multi-Family","1,178","Phone not provided","2","2",2,"2",13,2,58,NA,NA,NA,1,6,1,5,2,5,34.093542,-118.185484,9,28984,3.14,"12","39.4",1.55,53,2.5,1100,0.47,0.19,0.92,0.15,"0.0019",69,89,49,16,31,7,12,"https://www.trulia.com/c/ca/los-angeles/4080-via-marisol-233-los-angeles-ca-90042--2077367802",6,37,201302,1000,60372013021000,"Block 1000","G5040","U",51445,"U","S",349185,0,34.0968738,-118.1819402,NA,2300
"1692",1692,"6110 De Longpre Avenue #1","Los Angeles","CA","90028","$7,500",1921,"20","Multi-Family","1,200","Phone not provided","2","2",2,"2",202,NA,1036,NA,NA,NA,1,4,1,3,1,7,34.096166,-118.322662,9,63228,3.14,"12.2","40.2",2.17,64,3.4,4100,0.46,0.16,0.97,0.16,"0",57,58,55,27,21,4,10,"https://www.trulia.com/c/ca/los-angeles/6110-de-longpre-ave-1-los-angeles-ca-90028--2206230610",6,37,190801,2004,60371908012004,"Block 2004","G5040","U",51445,"U","S",14464,0,34.0957275,-118.323067,NA,7500
"1693",1693,"12504 Venice Boulevard #103","Los Angeles","CA","90066","$1,850",NA,"20","Multi-Family","700","(310) 980-6396","1","1",1,"1",14,NA,147,NA,35,NA,1,5,1,3,1,6,34.002699,-118.435338,9,41050,3.14,"11.8","39.6",1.79,58,4.3,2200,0.49,0.049,0.19,0.14,"27",41,51,31,8,13,7,12,"https://www.trulia.com/c/ca/los-angeles/12504-venice-blvd-103-los-angeles-ca-90066--2173207391",6,37,272100,2012,60372721002012,"Block 2012","G5040","U",51445,"U","S",13891,0,34.0025606,-118.4357744,NA,1850
"1694",1694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.005369,-118.438686,9,36851,3.14,"11.8","39.6",1.76,57,4.1,1900,0.54,0.049,0.19,0.13,"21",39,49,29,7,12,7,13,"https://www.trulia.com/c/ca/los-angeles/3671-boise-ave-los-angeles-ca-90066--2077466782",6,37,272100,1013,60372721001013,"Block 1013","G5040","U",51445,"U","S",10207,0,34.0052225,-118.4390995,NA,NA
"1695",1695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.039953,-118.175794,9,43124,3.14,"12.4","37.9",2.16,58,3.1,4100,0.72,0.17,5.2,0.79,"0.032",82,99,65,27,56,8,10,"https://www.trulia.com/c/ca/los-angeles/347-n-marianna-ave-los-angeles-ca-90063--2115677773",6,37,531000,2001,60375310002001,"Block 2001","G5040","U",51445,"U","S",16149,0,34.0396097,-118.1761455,NA,NA
"1696",1696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.024564,-118.307244,9,63108,3.14,"12.5","38.3",1.53,54,3,2700,0.65,0.092,0.41,0.14,"0.1",80,96,64,21,40,7,10,"https://www.trulia.com/c/ca/los-angeles/1638-1-2-w-35th-st-los-angeles-ca-90018--2347295128",6,37,222500,1002,60372225001002,"Block 1002","G5040","U",51445,"U","S",38979,0,34.024177,-118.3068028,NA,NA
"1697",1697,"11670 West Sunset Boulevard #310","Los Angeles","CA","90049","$2,400",NA,"20","Multi-Family","800","(310) 775-1198","1","1",1,"1",8,1,102,NA,NA,NA,1,5,1,8,1,6,34.065667,-118.470181,9,21606,3.14,"11.6","40.9",1.56,54,2.9,2300,0.39,0.057,0.49,0.069,"0",28,28,27,3,4,3,16,"https://www.trulia.com/c/ca/los-angeles/11670-w-sunset-blvd-310-los-angeles-ca-90049--2115648577",6,37,265410,2019,60372654102019,"Block 2019","G5040","U",51445,"U","S",13262,0,34.0660105,-118.4697244,NA,2400
"1698",1698,"3102 Bagley Avenue #1","Los Angeles","CA","90034","$2,395",NA,"21","Multi-Family",NA,"(323) 391-3505","2","2",1,"1",3,NA,49,NA,20,NA,1,8,1,7,1,6,34.03333,-118.395141,9,39179,3.14,"12.1","39.5",2.32,64,4,5300,0.43,0.063,0.19,0.12,"85",41,54,28,6,10,6,11,"https://www.trulia.com/c/ca/los-angeles/3102-bagley-ave-1-los-angeles-ca-90034--2172658412",6,37,269800,2001,60372698002001,"Block 2001","G5040","U",51445,"U","S",39580,0,34.0331168,-118.395752,NA,2395
"1699",1699,"3551 West 59th Place #LOWER","Los Angeles","CA","90043","$1,850",1935,"21","Multi-Family","750","(213) 700-3100","2","2",1,"1",77,NA,179,NA,NA,NA,1,5,0,0,1,3,33.986327,-118.334676,9,36471,3.14,"12.4","38",1.26,54,4.3,1000,0.71,0.068,1.2,0.21,"0",72,97,48,6,24,7,13,"https://www.trulia.com/c/ca/los-angeles/3551-w-59th-pl-lower-los-angeles-ca-90043--2115600828",6,37,234700,4004,60372347004004,"Block 4004","G5040","U",51445,"U","S",20655,0,33.9867418,-118.3340887,NA,1850
"1700",1700,"6110 De Longpre Avenue #2","Los Angeles","CA","90028","$7,500",1921,"20","Multi-Family","1,200","Phone not provided","2","2",2,"2",0,0,0,0,0,0,1,4,1,3,1,7,34.096166,-118.322662,9,63228,3.14,"12.2","40.2",2.17,64,3.4,4100,0.46,0.16,0.97,0.16,"0",57,58,55,27,21,4,10,"https://www.trulia.com/c/ca/los-angeles/6110-de-longpre-ave-2-los-angeles-ca-90028--2347294823",6,37,190801,2004,60371908012004,"Block 2004","G5040","U",51445,"U","S",14464,0,34.0957275,-118.323067,NA,7500
"1701",1701,"1334 North Las Palmas Avenue #203","Los Angeles","CA","90028","$1,750",NA,"20","Multi-Family","570","(323) 957-2255","1","1",1,"1",202,NA,1036,NA,NA,NA,1,2,1,3,1,7,34.095465,-118.336299,9,53916,3.14,"12.1","40.4",2.04,64,3.4,3000,0.42,0.13,0.78,0.13,"0.0024",43,42,43,18,12,3,11,"https://www.trulia.com/c/ca/los-angeles/1334-n-las-palmas-ave-203-los-angeles-ca-90028--2284210414",6,37,190700,3003,60371907003003,"Block 3003","G5040","U",51445,"U","S",19611,0,34.0952729,-118.3357785,NA,1750
"1702",1702,"1570 La Baig Avenue #C","Los Angeles","CA","90028","$3,750",1953,"21","Multi-Family",NA,"Phone not provided","2","2",1,"1",202,NA,1036,NA,NA,NA,1,4,1,3,1,7,34.103381,-118.320561,9,54938,3.14,"12.2","40.3",2.18,63,3.4,4100,0.48,0.16,1.2,0.16,"0.0035",51,52,50,25,17,4,11,"https://www.trulia.com/c/ca/los-angeles/1570-la-baig-ave-c-los-angeles-ca-90028--2347251591",6,37,191000,1002,60371910001002,"Block 1002","G5040","U",51445,"U","S",13503,0,34.1036229,-118.3203261,NA,3750
"1703",1703,"10787 Wilshire Boulevard #902","Los Angeles","CA","90024","$4,450",1962,"20","Multi-Family","1,319","Phone not provided","2","2",1,"1",8,NA,197,NA,41,NA,1,9,1,5,1,6,34.060096,-118.439102,9,46255,3.14,"11.8","40.4",1.64,63,3.5,1700,0.3,0.06,0.32,0.079,"0",36,37,35,9,4,2,15,"https://www.trulia.com/c/ca/los-angeles/10787-wilshire-blvd-902-los-angeles-ca-90024--2077256495",6,37,265202,4005,60372652024005,"Block 4005","G5040","U",51445,"U","S",20839,0,34.0606406,-118.4390143,NA,4450
"1704",1704,"1055 South Bedford Street #3","Los Angeles","CA","90035","$3,895",1957,"20","Multi-Family",NA,"Phone not provided","2","2",2,"2",4,NA,52,NA,30,NA,1,4,1,5,1,6,34.057656,-118.380453,9,45576,3.14,"12.2","39.8",1.47,63,3.5,2700,0.62,0.076,0.14,0.09,"34",28,31,25,9,6,6,15,"https://www.trulia.com/c/ca/los-angeles/1055-s-bedford-st-3-los-angeles-ca-90035--2115569807",6,37,216401,2001,60372164012001,"Block 2001","G5040","U",51445,"U","S",24069,0,34.0582494,-118.3808944,NA,3895
