"Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Driving","Transit","Walking","Cycling","Restaurant","Groceries","Nightlife","Cafe","Shopping","Entertainment","Beauty","Active_life","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","rent_max","rent_min","Sqft_max","Sqft_min","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"1150 West 29th Street","Los Angeles","CA","90007","$1,650",NA,"40","Multi-Family","300","Phone not provided",NA,NA,1,1,64,NA,299,NA,NA,NA,1,4,1,5,0,0,55,18,4,7,229,27,29,38,224,44,62,37,34.028362,-118.285344,9,53135,3.14,12.6,38.2,2.25,61,3.6,7400,0.54,0.1,0.86,0.19,0,80,83,74,27,40,4,7,"https://www.trulia.com/c/ca/los-angeles/1150-w-29th-st-los-angeles-ca-90007--2115462749",NA,1650,NA,300,6,37,221900,1000,60372219001000,"Block 1000","G5040","U",51445,"U","S",42015,0,34.0279052,-118.286085
"4126 Redwood Avenue","Los Angeles","CA","90066","$4,600",NA,"40","Single-Family Home","1,200","(323) 819-9001","2","2",1,1,26,5,277,NA,NA,NA,1,6,1,3,1,6,89,7,0,1,156,14,29,23,257,45,250,159,33.990491,-118.439838,9,35303,3.14,11.7,39.5,1.73,56,4.3,2200,0.36,0.049,0.17,0.14,37,37,46,28,6,9,6,13,"https://www.trulia.com/c/ca/los-angeles/4126-redwood-ave-los-angeles-ca-90066--1009608895",NA,4600,NA,1200,6,37,275400,2003,60372754002003,"Block 2003","G5040","U",51445,"U","S",150456,0,33.9898836,-118.4410033
"600 West 9th Street #305","Los Angeles","CA","90015","$3,600",NA,"39","Multi-Family","1,193","(626) 731-0622","3","3",2,2,387,2,1749,NA,NA,NA,1,4,0,0,1,5,53,38,2,8,926,54,250,198,3695,231,308,151,34.045421,-118.260889,9,62073,3.14,12.5,38.3,2.67,84,4.8,5000,0.53,0.14,2.4,0.42,0.34,73,81,66,26,32,5,11,"https://www.trulia.com/c/ca/los-angeles/600-w-9th-st-305-los-angeles-ca-90015--2115497226",NA,3600,NA,1193,6,37,207900,2001,60372079002001,"Block 2001","G5040","U",51445,"U","S",25231,0,34.0447541,-118.2615726
"4167 Oakwood Avenue #4169","Los Angeles","CA","90004","$1,850",NA,"39","Multi-Family",NA,"(213) 810-3618","1","1",1,1,166,NA,1133,NA,189,NA,1,3,1,5,1,5,77,19,0,1,475,60,75,91,483,62,314,67,34.077697,-118.297792,9,106408,3.14,12.4,39.3,2.06,65,3.3,3500,0.5,0.18,0.46,0.18,0.00017,74,89,58,33,30,6,8,"https://www.trulia.com/c/ca/los-angeles/4167-oakwood-ave-4169-los-angeles-ca-90004--2352934749",NA,1850,NA,NA,6,37,192620,2006,60371926202006,"Block 2006","G5040","U",51445,"U","S",9413,0,34.0780388,-118.2975745
"1855 Purdue Avenue #206","Los Angeles","CA","90025","$3,895",NA,"38","Multi-Family",NA,"(213) 973-2788","3","3",2,2,36,2,572,NA,NA,NA,1,7,1,2,1,6,86,7,2,2,328,17,49,53,400,83,291,227,34.041477,-118.447064,9,44871,3.14,11.7,40.3,2,64,3.8,5500,0.23,0.054,0.79,0.086,0,40,48,31,9,8,4,11,"https://www.trulia.com/c/ca/los-angeles/1855-purdue-ave-206-los-angeles-ca-90025--2351601920",NA,3895,NA,NA,6,37,267700,1005,60372677001005,"Block 1005","G5040","U",51445,"U","S",21107,0,34.0417755,-118.44796
"724 Bernard Street #6","Los Angeles","CA","90012","$1,825",NA,"38","Multi-Family",NA,"(626) 587-3315","2","2",1,1,24,2,210,NA,NA,NA,1,6,1,4,1,5,73,13,0,9,212,25,51,41,288,105,64,56,34.06805,-118.240802,9,33102,3.14,12.4,38.5,2.85,67,3.8,7100,0.4,0.19,2.5,0.4,2.2,68,85,60,31,39,4,11,"https://www.trulia.com/c/ca/los-angeles/724-bernard-st-6-los-angeles-ca-90012--2351572828",NA,1825,NA,NA,6,37,197700,3004,60371977003004,"Block 3004","G5040","U",51445,"U","S",100425,0,34.0691792,-118.2422444
"4440 Ambrose Avenue #211","Los Angeles","CA","90027","$1,895",1940,"40","Multi-Family","750","(818) 335-9926","1","1",1,1,7,NA,162,NA,60,NA,1,8,1,7,1,7,85,9,1,5,156,11,50,32,212,55,112,71,34.109923,-118.28659,9,31401,3.14,12.2,40.1,1.51,57,2.7,1800,0.61,0.35,1.8,0.34,1.1,33,37,28,10,8,5,14,"https://www.trulia.com/c/ca/los-angeles/4440-ambrose-ave-211-los-angeles-ca-90027--2351497398",NA,1895,NA,750,6,37,189102,2004,60371891022004,"Block 2004","G5040","U",51445,"U","S",30445,0,34.1092807,-118.2863329
"11339 Venice Boulevard #1","Los Angeles","CA","90066","$2,500",NA,"39","Multi-Family","625","(818) 445-0247","1","1",1,1,9,NA,161,NA,59,NA,1,5,1,7,1,6,89,7,0,1,138,9,23,24,200,41,138,86,34.010948,-118.420826,9,48349,3.14,11.9,39.5,2.19,61,4.2,7000,0.41,0.053,0.2,0.14,47,47,59,35,10,13,7,11,"https://www.trulia.com/c/ca/los-angeles/11339-venice-blvd-1-los-angeles-ca-90066--2351560232",NA,2500,NA,625,6,37,271901,3010,60372719013010,"Block 3010","G5040","U",51445,"U","S",14969,0,34.0101291,-118.4220242
"6061 Franklin Avenue #7","Los Angeles","CA","90028","$1,795",NA,"39","Multi-Family","600","(917) 334-0022","1","1",1,1,73,NA,558,NA,95,NA,1,6,1,3,1,7,66,16,0,8,354,29,215,70,358,172,202,76,34.105265,-118.321752,9,49358,3.14,12.1,40.4,2.16,63,3.3,4000,0.49,0.16,1.2,0.16,0.0071,49,50,48,22,15,4,11,"https://www.trulia.com/c/ca/los-angeles/6061-franklin-ave-7-los-angeles-ca-90028--2171835867",NA,1795,NA,600,6,37,189500,2000,60371895002000,"Block 2000","G5040","U",51445,"U","S",41811,0,34.1076202,-118.321936
"1058 South Wooster Street","Los Angeles","CA","90035","$1,900",NA,"39","Multi-Family","900","(310) 962-6677","1","1",1,1,5,NA,60,NA,34,NA,1,4,1,5,1,6,93,2,0,2,283,18,34,60,572,99,634,146,34.057511,-118.382478,9,46516,3.14,12.2,39.8,1.47,63,3.5,2600,0.62,0.075,0.14,0.09,31,27,30,24,9,6,6,15,"https://www.trulia.com/c/ca/los-angeles/1058-s-wooster-st-los-angeles-ca-90035--2115569831",NA,1900,NA,900,6,37,216401,2003,60372164012003,"Block 2003","G5040","U",51445,"U","S",27331,0,34.0582354,-118.3830513
"633 South Barrington Avenue #105","Los Angeles","CA","90049","$2,900",1989,"40","Multi-Family","1,300","(310) 721-0092","2","2",2,2,5,1,101,NA,NA,NA,1,5,1,8,1,6,94,2,0,3,115,7,18,28,174,27,173,126,34.05663,-118.467805,9,29453,3.14,11.6,40.7,1.52,58,3.1,2300,0.25,0.054,1.2,0.074,0,24,27,20,5,4,4,16,"https://www.trulia.com/c/ca/los-angeles/633-s-barrington-ave-105-los-angeles-ca-90049--2351472388",NA,2900,NA,1300,6,37,264102,1004,60372641021004,"Block 1004","G5040","U",51445,"U","S",215468,0,34.0586119,-118.4700465
"11844 Mayfield Avenue #6","Los Angeles","CA","90049","$1,795",NA,"39","Multi-Family","600","(959) 650-4499","1","1",1,1,36,2,572,NA,NA,NA,1,2,1,8,1,6,94,2,0,3,186,14,29,40,241,48,229,192,34.04964,-118.466053,9,45694,3.14,11.6,40.5,1.63,61,3.3,2100,0.22,0.053,1.4,0.078,0,32,37,26,7,6,5,13,"https://www.trulia.com/c/ca/los-angeles/11844-mayfield-ave-6-los-angeles-ca-90049--2174236847",NA,1795,NA,600,6,37,264301,2005,60372643012005,"Block 2005","G5040","U",51445,"U","S",22993,0,34.0495026,-118.4653364
"839 South Saint Andrews Place","Los Angeles","CA","90005","$1,299",1931,"39","Multi-Family","500","(310) 710-9361",NA,NA,1,1,166,NA,1133,NA,189,NA,1,4,1,7,1,4,67,26,0,5,613,46,106,120,549,59,415,86,34.056864,-118.311225,9,95891,3.14,12.4,39,1.7,66,3.4,1400,0.49,0.13,0.2,0.14,1.3,74,91,57,38,27,6,10,"https://www.trulia.com/c/ca/los-angeles/839-s-saint-andrews-pl-los-angeles-ca-90005--1004342420",NA,1299,NA,500,6,37,212620,1000,60372126201000,"Block 1000","G5040","U",51445,"U","S",22971,0,34.0569432,-118.311675
"848 South Holt Avenue","Los Angeles","CA","90035","$2,500",1965,"40","Multi-Family","1,300","Phone not provided","2","2",2,2,5,NA,60,NA,34,NA,1,4,1,5,1,6,93,2,0,2,337,12,52,75,824,114,730,192,34.061355,-118.378277,9,47262,3.14,12.2,39.8,1.49,64,3.6,2900,0.59,0.078,0.14,0.088,28,27,30,25,9,6,6,15,"https://www.trulia.com/c/ca/los-angeles/848-s-holt-ave-los-angeles-ca-90035--1004202122",NA,2500,NA,1300,6,37,216402,1000,60372164021000,"Block 1000","G5040","U",51445,"U","S",20373,0,34.0619471,-118.3778067
"210 N Avenue 55 #55","Los Angeles","CA","90042","$1,700",NA,"36","Multi-Family","724","(323) 419-6309","1","1",1,1,16,NA,166,NA,14,NA,1,3,2,6,1,7,89,9,0,1,112,17,19,21,150,14,87,34,34.109657,-118.196546,9,43057,3.14,11.9,40,1.58,54,2.5,1500,0.65,0.19,0.61,0.19,0.0031,70,87,52,17,35,6,10,"https://www.trulia.com/c/ca/los-angeles/210-n-avenue-55-55-los-angeles-ca-90042--2115596548",NA,1700,NA,724,6,37,183810,2001,60371838102001,"Block 2001","G5040","U",51445,"U","S",19428,0,34.1096081,-118.1973832
"1424 East 41st Street","Los Angeles","CA","90011","$2,950",2018,"41","Multi-Family","1,600","(657) 243-7488","4","4",3,3,133,NA,567,NA,NA,NA,1,5,0,0,0,0,66,25,0,4,94,28,5,4,203,4,33,10,34.008749,-118.248508,9,54032,3.14,12.7,37.5,1.71,59,3.4,1400,0.68,0.13,6.5,1.8,0.33,88,99,77,25,64,9,5,"https://www.trulia.com/c/ca/los-angeles/1424-e-41st-st-los-angeles-ca-90011--2351039832",NA,2950,NA,1600,6,37,228220,1000,60372282201000,"Block 1000","G5040","U",51445,"U","S",17905,0,34.0083274,-118.2484304
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.042398,-118.283273,9,82216,3.14,12.5,38.4,2.24,67,3.6,6100,0.58,0.13,0.82,0.18,3.8e-05,84,94,74,44,48,6,9,"https://www.trulia.com/c/ca/los-angeles/1328-w-17th-st-los-angeles-ca-90006--2194331344",NA,NA,NA,NA,6,37,224310,2002,60372243102002,"Block 2002","G5040","U",51445,"U","S",14879,0,34.0420215,-118.2833842
"3154 Barbara Court","Los Angeles","CA","90068","$4,450",1938,"41","Single-Family Home","1,779","(866) 500-7064","2","2",2,2,73,NA,558,NA,95,NA,1,8,1,3,1,7,91,4,0,3,57,2,14,7,57,24,33,69,34.127332,-118.347491,9,6901,3.14,11.9,41.4,1.54,50,2.4,4200,0.48,0.15,1.4,0.11,1.3,21,25,17,5,2,5,12,"https://www.trulia.com/c/ca/los-angeles/3154-barbara-ct-los-angeles-ca-90068--2077477147",NA,4450,NA,1779,6,37,143700,2002,60371437002002,"Block 2002","G5040","U",51445,"U","S",48924,0,34.1271709,-118.3481883
"3220 Casitas Avenue #C","Los Angeles","CA","90039","$2,250",NA,"41","Multi-Family",NA,"(323) 527-2488","2","2",1,1,13,NA,136,NA,16,NA,1,5,1,6,1,6,91,5,0,3,107,8,21,21,204,40,85,72,34.115297,-118.251041,9,28382,3.14,12,40.2,1.95,56,2.8,3500,0.65,1.3,1.5,0.89,3.6,59,76,42,18,24,5,12,"https://www.trulia.com/c/ca/los-angeles/3220-casitas-ave-c-los-angeles-ca-90039--2351351309",NA,2250,NA,NA,6,37,187102,2001,60371871022001,"Block 2001","G5040","U",51445,"U","S",27359,0,34.1154107,-118.2518569
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.049562,-118.290655,9,106615,3.14,12.5,38.7,1.95,68,3.5,3100,0.59,0.13,0.53,0.16,0,84,96,72,49,45,7,9,"https://www.trulia.com/c/ca/los-angeles/1168-menlo-ave-3-los-angeles-ca-90006--2349050609",NA,NA,NA,NA,6,37,213402,3002,60372134023002,"Block 3002","G5040","U",51445,"U","S",58022,0,34.0490238,-118.2898914
"3263 1/2 City Terrace Drive","Los Angeles","CA","90063","$2,000",NA,"46","Multi-Family",NA,"(562) 231-2919","3","3",2,2,48,NA,193,NA,38,NA,1,3,1,3,1,6,77,17,0,4,116,44,6,11,107,9,51,17,34.048779,-118.190256,9,57800,3.14,12.4,38.1,2.28,59,3.2,2300,0.73,0.14,5.2,0.89,0.28,82,99,66,26,55,7,10,"https://www.trulia.com/c/ca/los-angeles/3263-1-2-city-terrace-dr-los-angeles-ca-90063--2349542610",NA,2000,NA,NA,6,37,530801,2008,60375308012008,"Block 2008","G5040","U",51445,"U","S",31311,0,34.0498138,-118.1896994
"220 South Catalina Street #5","Los Angeles","CA","90004","$1,225",NA,"41","Multi-Family","400","(213) 358-5339",NA,NA,1,1,166,NA,1133,NA,189,NA,1,4,1,5,1,5,77,19,0,1,649,68,142,140,553,77,426,97,34.070273,-118.295377,9,120067,3.14,12.4,39.1,1.9,68,3.5,2400,0.48,0.16,0.41,0.17,0,75,92,58,37,29,6,8,"https://www.trulia.com/c/ca/los-angeles/220-s-catalina-st-5-los-angeles-ca-90004--2352153016",NA,1225,NA,400,6,37,211320,2000,60372113202000,"Block 2000","G5040","U",51445,"U","S",47440,0,34.07088,-118.2947905
"825 South Harvard Boulevard","Los Angeles","CA","90005","$1,595",NA,"42","Multi-Family","700","(213) 388-7368","1","1",1,1,166,NA,1133,NA,189,NA,1,4,0,0,1,5,67,26,0,5,745,58,126,149,690,67,512,101,34.057035,-118.304205,9,113008,3.14,12.4,39,1.78,68,3.5,1600,0.48,0.14,0.23,0.15,0.0072,76,93,60,42,30,6,9,"https://www.trulia.com/c/ca/los-angeles/825-s-harvard-blvd-los-angeles-ca-90005--2115455497",NA,1595,NA,700,6,37,212501,1000,60372125011000,"Block 1000","G5040","U",51445,"U","S",21681,0,34.0567762,-118.3047434
"1159 East 78th Street","Los Angeles","CA","90001","$2,699",1970,"42",NA,"1,400","(909) 678-1437","4","4",2,2,62,NA,238,NA,NA,NA,0,0,0,0,0,0,80,15,0,1,92,29,14,4,106,0,43,6,33.968045,-118.254433,9,61451,3.14,12.7,37,1.76,55,3.6,1600,0.67,0.14,1.8,0.53,0.018,84,100,69,24,57,9,6,"https://www.trulia.com/c/ca/los-angeles/1159-e-78th-st-los-angeles-ca-90001--1002154085",NA,2699,NA,1400,6,37,535001,3004,60375350013004,"Block 3004","G5040","U",51445,"U","S",34838,0,33.9684758,-118.2539353
"3530 Hughes Avenue #105","Los Angeles","CA","90034","$1,850",NA,"41","Multi-Family","700","(310) 926-9387","1","1",1,1,27,NA,296,NA,47,NA,1,4,1,7,1,6,89,7,0,2,179,17,31,37,236,45,106,89,34.028354,-118.402639,9,47544,3.14,12.1,39.5,2.33,64,4,4800,0.34,0.059,0.19,0.12,67,41,53,29,6,7,6,10,"https://www.trulia.com/c/ca/los-angeles/3530-hughes-ave-105-los-angeles-ca-90034--2175458095",NA,1850,NA,700,6,37,270100,3006,60372701003006,"Block 3006","G5040","U",51445,"U","S",17543,0,34.0284788,-118.401973
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.100964,-118.347861,9,47958,3.14,12.1,40.5,2.02,64,3.5,2900,0.45,0.12,0.76,0.11,0.0058,35,33,37,14,7,2,12,"https://www.trulia.com/c/ca/los-angeles/1640-n-poinsettia-pl-105-los-angeles-ca-90046--2351048619",NA,NA,NA,NA,6,37,189904,1002,60371899041002,"Block 1002","G5040","U",51445,"U","S",20326,0,34.1007131,-118.3484041
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.048222,-118.250999,9,45917,3.14,12.5,38.2,2.79,89,5.2,4900,0.48,0.14,3.6,0.6,0.77,65,73,56,19,21,4,12,"https://www.trulia.com/c/ca/los-angeles/312-w-5th-st-1004-los-angeles-ca-90013--2115487498",NA,NA,NA,NA,6,37,207301,2008,60372073012008,"Block 2008","G5040","U",51445,"U","S",12866,0,34.0475419,-118.2516395
"1254 North Mariposa Avenue","Los Angeles","CA","90029","$2,995",1930,"42","Multi-Family","1,000","(818) 241-0705","2","2",1,1,166,NA,1133,NA,189,NA,0,0,0,0,0,0,64,29,0,6,336,53,72,51,449,86,233,64,34.09446,-118.299389,9,87195,3.14,12.3,39.9,2.26,62,3.3,4500,0.52,0.21,0.99,0.21,0.065,63,68,58,32,27,6,11,"https://www.trulia.com/c/ca/los-angeles/1254-n-mariposa-ave-los-angeles-ca-90029--1054852620",NA,2995,NA,1000,6,37,191204,1002,60371912041002,"Block 1002","G5040","U",51445,"U","S",46687,0,34.0930545,-118.2989034
"1088 West 39th Street #11","Los Angeles","CA","90037","$1,450",NA,"42","Multi-Family",NA,"(213) 598-6900","1","1",1,1,131,NA,450,NA,NA,NA,1,5,1,5,1,5,69,21,0,3,164,24,17,21,94,30,58,19,34.015477,-118.294141,9,60082,3.14,12.6,38,1.6,54,3.1,3300,0.67,0.09,0.66,0.18,0,83,93,71,25,46,7,7,"https://www.trulia.com/c/ca/los-angeles/1088-w-39th-st-11-los-angeles-ca-90037--2171667414",NA,1450,NA,NA,6,37,231220,1005,60372312201005,"Block 1005","G5040","U",51445,"U","S",20188,0,34.0148084,-118.2940474
"11685 Montana Avenue #107","Los Angeles","CA","90049","$2,950",NA,"46","Multi-Family","760","(310) 595-6252","2","2",1,1,5,1,103,NA,NA,NA,1,5,1,8,1,6,94,2,0,3,154,10,20,35,200,34,199,156,34.055456,-118.466539,9,31705,3.14,11.6,40.6,1.55,59,3.2,2300,0.24,0.054,1.4,0.075,0,26,29,22,5,4,4,15,"https://www.trulia.com/c/ca/los-angeles/11685-montana-ave-107-los-angeles-ca-90049--2183495306",NA,2950,NA,760,6,37,264103,1000,60372641031000,"Block 1000","G5040","U",51445,"U","S",46823,0,34.0565985,-118.466222
"100 South Alameda Street #318","Los Angeles","CA","90012","$2,100",2005,"43","Multi-Family","735","(626) 810-6660","1","1",1,1,387,2,1749,NA,NA,NA,0,0,0,0,2,4,73,13,0,9,734,59,200,168,2663,221,227,120,34.04816,-118.23809,9,42324,3.14,12.5,38.2,2.91,84,5,4600,0.53,0.14,4.7,0.83,2.3,65,76,59,22,28,3,14,"https://www.trulia.com/c/ca/los-angeles/100-s-alameda-st-318-los-angeles-ca-90012--2115482101",NA,2100,NA,735,6,37,206031,1026,60372060311026,"Block 1026","G5040","U",51445,"U","S",18410,0,34.0480445,-118.2375924
"921 South Bonnie Brae Street #24","Los Angeles","CA","90006","$1,299",NA,"42","Multi-Family",NA,"(213) 858-9962",NA,NA,1,1,224,NA,889,NA,NA,NA,1,4,0,0,1,5,57,37,0,5,537,53,104,96,514,125,258,94,34.051765,-118.276988,9,112451,3.14,12.5,38.6,2.13,71,3.7,3100,0.52,0.15,1,0.19,0.0041,85,95,75,47,49,7,9,"https://www.trulia.com/c/ca/los-angeles/921-s-bonnie-brae-st-24-los-angeles-ca-90006--2352655624",NA,1299,NA,NA,6,37,209520,2001,60372095202001,"Block 2001","G5040","U",51445,"U","S",23847,0,34.0517893,-118.2776308
"1046 South Wooster Street #4","Los Angeles","CA","90035","$1,895",NA,"48","Multi-Family",NA,"(310) 570-0093","1","1",1,1,5,NA,60,NA,34,NA,1,4,1,5,1,6,93,2,0,2,301,18,38,63,595,106,651,151,34.057908,-118.382459,9,45676,3.14,12.2,39.8,1.47,63,3.6,2700,0.62,0.075,0.14,0.09,30,27,29,24,9,6,6,14,"https://www.trulia.com/c/ca/los-angeles/1046-s-wooster-st-4-los-angeles-ca-90035--2349432473",NA,1895,NA,NA,6,37,216401,2002,60372164012002,"Block 2002","G5040","U",51445,"U","S",24149,0,34.0582425,-118.3819393
"1104 South Masselin Avenue #2","Los Angeles","CA","90019","$1,650",NA,"47","Multi-Family","650","(310) 425-9070","1","1",1,1,216,NA,1216,NA,290,NA,1,4,1,7,1,6,83,15,0,0,193,13,37,71,390,115,229,94,34.055493,-118.355944,9,49393,3.14,12.3,39.5,1.55,64,3.6,2600,0.7,0.09,0.16,0.097,110,44,59,29,9,8,6,11,"https://www.trulia.com/c/ca/los-angeles/1104-s-masselin-ave-2-los-angeles-ca-90019--2175035980",NA,1650,NA,650,6,37,216300,1017,60372163001017,"Block 1017","G5040","U",51445,"U","S",14103,0,34.0553557,-118.3555379
"1339 Barry Avenue #1","Los Angeles","CA","90025","$2,795",NA,"43","Multi-Family","950","Phone not provided","2","2",2,2,36,2,572,NA,NA,NA,1,2,1,5,1,6,86,7,2,2,279,20,37,59,331,74,291,264,34.046798,-118.457316,9,52958,3.14,11.7,40.4,1.77,63,3.6,3200,0.18,0.053,1.3,0.081,0,36,43,29,7,7,5,12,"https://www.trulia.com/c/ca/los-angeles/1339-barry-ave-1-los-angeles-ca-90025--2196893049",NA,2795,NA,950,6,37,267403,1003,60372674031003,"Block 1003","G5040","U",51445,"U","S",15161,0,34.0469445,-118.4580755
"345 South Manhattan Place #107","Los Angeles","CA","90020","$1,650",NA,"41","Multi-Family","650","(323) 957-2255","1","1",1,1,22,NA,264,NA,118,NA,1,5,1,7,1,4,76,17,0,5,607,43,119,124,610,63,400,99,34.067628,-118.310417,9,99387,3.14,12.4,39.2,1.72,67,3.4,1400,0.51,0.15,0.24,0.15,0.055,71,88,53,34,24,6,9,"https://www.trulia.com/c/ca/los-angeles/345-s-manhattan-pl-107-los-angeles-ca-90020--2172268942",NA,1650,NA,650,6,37,211703,1001,60372117031001,"Block 1001","G5040","U",51445,"U","S",23055,0,34.0680504,-118.3109772
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.055039,-118.287505,9,130511,3.14,12.5,38.7,1.92,70,3.6,1900,0.53,0.14,0.62,0.17,0,82,95,70,47,42,6,9,"https://www.trulia.com/c/ca/los-angeles/2729-san-marino-st-c-los-angeles-ca-90006--2349601125",NA,NA,NA,NA,6,37,212202,1002,60372122021002,"Block 1002","G5040","U",51445,"U","S",44869,0,34.0554613,-118.2866605
"145 Douglas Street #103","Los Angeles","CA","90026","$2,250",NA,"47","Multi-Family",NA,"(213) 835-7281","2","2",1,1,226,NA,896,NA,NA,NA,1,4,0,0,1,5,79,18,0,2,515,41,132,121,568,121,184,94,34.062794,-118.258786,9,80766,3.14,12.4,38.6,2.51,72,3.9,5600,0.44,0.18,1.7,0.25,0.28,77,89,66,36,40,5,12,"https://www.trulia.com/c/ca/los-angeles/145-douglas-st-103-los-angeles-ca-90026--2349429996",NA,2250,NA,NA,6,37,208000,3005,60372080003005,"Block 3005","G5040","U",51445,"U","S",10126,0,34.0630189,-118.2589776
"145 East 36th Place","Los Angeles","CA","90011","$2,950",NA,"56","Single-Family Home",NA,"(424) 245-5563","5","5",2,2,133,NA,567,NA,NA,NA,0,0,0,0,0,0,66,25,0,4,232,34,30,31,232,44,50,31,34.015744,-118.272633,9,60128,3.14,12.6,37.7,2.1,59,3.6,4600,0.64,0.1,3.4,0.76,0.012,86,93,77,27,60,8,4,"https://www.trulia.com/c/ca/los-angeles/145-e-36th-pl-los-angeles-ca-90011--2115473735",NA,2950,NA,NA,6,37,231100,3000,60372311003000,"Block 3000","G5040","U",51445,"U","S",31714,0,34.0159832,-118.2722573
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.07477,-118.271929,9,83154,3.14,12.4,39,2.17,66,3.4,4200,0.55,0.21,1.1,0.23,0.093,70,86,55,27,29,5,10,"https://www.trulia.com/c/ca/los-angeles/527-n-coronado-st-los-angeles-ca-90026--1034304680",NA,NA,NA,NA,6,37,195802,1014,60371958021014,"Block 1014","G5040","U",51445,"U","S",10459,0,34.0749857,-118.2725968
"859 South New Hampshire Avenue #208","Los Angeles","CA","90005","$1,445",NA,"49","Multi-Family",NA,"(213) 713-6289",NA,NA,1,1,166,NA,1133,NA,189,NA,0,0,0,0,1,5,67,26,0,5,755,67,135,140,708,79,465,90,34.056342,-118.292916,9,125592,3.14,12.5,38.8,1.86,70,3.6,1600,0.5,0.14,0.44,0.16,0,80,94,66,45,37,6,9,"https://www.trulia.com/c/ca/los-angeles/859-s-new-hampshire-ave-208-los-angeles-ca-90005--2349410002",NA,1445,NA,NA,6,37,212306,1001,60372123061001,"Block 1001","G5040","U",51445,"U","S",23314,0,34.056837,-118.2935055
"665 South Cochran Avenue","Los Angeles","CA","90036","$1,750",1929,"59","Multi-Family","840","(310) 710-9361","1","1",1,1,7,NA,93,NA,21,NA,1,8,1,7,1,6,88,3,0,3,212,18,45,79,499,111,231,106,34.063037,-118.347254,9,42963,3.14,12.3,39.6,1.52,64,3.6,2200,0.68,0.097,0.17,0.099,43,36,47,25,9,4,6,11,"https://www.trulia.com/c/ca/los-angeles/665-s-cochran-ave-los-angeles-ca-90036--1001601412",NA,1750,NA,840,6,37,215101,2000,60372151012000,"Block 2000","G5040","U",51445,"U","S",27519,0,34.0636252,-118.3477432
"1221 South Bedford Street","Los Angeles","CA","90035","$2,395",NA,"49","Multi-Family",NA,"(310) 962-5437","2","2",1,1,5,NA,60,NA,34,NA,1,9,1,2,1,6,93,2,0,2,245,17,28,56,501,90,566,142,34.05507,-118.380597,9,46448,3.14,12.2,39.7,1.49,62,3.5,2400,0.63,0.075,0.14,0.093,44,32,37,28,9,8,6,15,"https://www.trulia.com/c/ca/los-angeles/1221-s-bedford-st-los-angeles-ca-90035--2346666704",NA,2395,NA,NA,6,37,216401,2006,60372164012006,"Block 2006","G5040","U",51445,"U","S",30550,0,34.0556945,-118.3809966
